RespID,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_97,Q8_98,Q8_oth,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_97,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_oth,Q14_text
1001,1,47,2,1,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,1,,NaN,NaN,NaN,NaN,NaN,3,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,,Eco-friendlyNaNpackaging
1002,1,23,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,0,0,0,1,0,0,0,,3,3,1,5,4,4,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,,Eco-friendlyNaNpackaging
1003,1,NaN,1,3,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,1,0,0,0,0,0,1,0,xyx,2,3,3,5,2,4,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,,Eco-friendlyNaNpackaging
1004,1,49,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,0,1,1,0,0,0,0,0,,2,5,1,4,2,2,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,Satisfied,BetterNaNpricing
1005,1,20,2,3,1,1,0,1,1,1,0,1,1,0,1,1,1,0,2,4,NaN,1,4,4,0,0,0,0,0,0,0,0,0,0,1,fdffgg,NaN,NaN,NaN,NaN,NaN,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,BetterNaNavailability
1006,1,46,1,97,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,4,1,1,0,0,0,1,0,1,0,0,0,,5,3,5,2,5,NaN,1,0,1,1,1,0,0,0,5,0,1,0,1,0,1,0,1,MoreNaNvariety,Eco-friendlyNaNpackaging
1007,1,45,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,2,1,0,0,0,1,1,0,0,0,0,0,,5,5,4,4,2,5,0,0,0,0,0,0,0,1,5,1,1,1,1,0,0,0,1,Satisfied,Satisfied
1008,2,90,1,2,0,1,1,0,1,0,0,0,1,1,0,1,0,0,NaN,2,2,NaN,4,NaN,0,0,0,0,0,1,1,1,1,0,0,,1,1,4,4,1,4,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,,BetterNaNavailability
1009,1,26,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,NaN,5,NaN,6,NaN,NaN,0,0,0,0,0,0,0,0,0,0,1,,NaN,NaN,NaN,NaN,NaN,3,0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,1,0,,MoreNaNdiscounts
1010,1,50,2,2,1,0,0,1,1,0,0,1,0,0,1,1,0,0,3,NaN,NaN,5,1,NaN,0,0,0,0,1,0,0,0,0,0,0,,5,5,3,1,5,4,0,0,0,0,0,1,1,0,4,1,0,0,1,0,0,0,0,,ImproveNaNquality
1011,1,31,2,3,0,0,0,0,1,1,0,0,0,0,0,1,1,0,NaN,NaN,NaN,NaN,2,2,0,0,0,1,1,1,1,0,0,0,0,,4,4,1,3,1,4,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,1,1,MoreNaNvariety,Eco-friendlyNaNpackaging
1012,2,23,1,97,0,0,0,1,1,0,0,0,0,0,1,1,0,0,NaN,NaN,NaN,5,6,NaN,0,1,0,0,0,0,1,0,0,0,0,,1,2,3,4,2,NaN,0,0,1,0,0,1,0,0,5,1,0,1,0,1,0,0,0,,MoreNaNvariety
1013,1,34,1,97,0,0,1,0,1,0,0,0,0,1,0,1,0,0,NaN,NaN,2,NaN,3,NaN,1,0,1,1,0,0,1,1,0,0,0,,5,3,3,1,3,NaN,0,1,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,,Eco-friendlyNaNpackaging
1014,1,43,1,3,0,1,0,1,1,0,0,0,1,0,1,1,0,0,NaN,3,NaN,4,2,NaN,1,1,0,0,0,1,0,1,1,0,0,,3,4,3,3,4,3,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,1,0,,MoreNaNvariety
1015,1,49,1,2,0,1,1,1,0,0,0,0,1,1,1,0,0,0,NaN,4,1,1,NaN,NaN,0,0,0,1,0,0,0,1,0,0,0,,2,1,4,1,5,3,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,Satisfied,LoyalNaNcustomer
1016,2,61,1,1,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,0,0,1,0,1,0,0,0,,3,1,2,3,5,5,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,,BetterNaNpricing
1017,1,23,1,4,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0,0,,3,2,3,3,1,1,0,0,1,0,0,1,0,0,4,0,1,0,1,0,1,0,0,,MoreNaNdiscounts
